uai,effectif_segpa,ips,ecart_type_de_l_ips,ep,ratio_filles_garcons,longueur_nom_etablissement,secteur,effectifs
0840116V,94,94.6,31.4,1,0,18,1,751
0390907Z,118,95.2,32.8,1,0,21,1,608
0690007H,60,98.8,33.5,1,0,18,1,789
0840114T,101,88.1,32.4,1,0,24,1,763
0840759U,40,100.2,30.7,1,0,25,1,914
0911146B,56,98.0,29.9,1,1,20,1,716
0870771R,64,99.1,36.4,1,0,28,1,721
0593488W,55,88.8,32.8,1,0,17,1,540
0470103G,55,90.4,32.9,1,1,19,1,671
0761786D,0,101.9,36.1,1,0,22,1,420
0260012X,0,101.2,31.9,1,0,22,1,417
0910718L,0,92.2,29.9,1,1,21,1,724
0780856G,0,111.1,37.1,1,0,15,1,546
0620158K,0,82.8,27.1,1,1,21,1,561
0040022C,85,108.5,32.1,1,0,16,1,653
9730091L,0,74.8,23.3,1,0,18,1,817
0830833E,0,97.8,31.3,1,0,20,1,728
0951696C,0,118.3,37.3,1,1,23,1,503
0460528Z,84,108.6,34.9,1,0,24,1,623
0530790W,0,102.5,37.6,1,1,21,1,447
9730370P,0,96.5,31.6,1,0,21,1,672
0940551N,62,94.3,29.0,1,0,23,1,623
9720083H,0,101.0,25.8,1,1,20,1,425
0910021D,59,93.8,28.9,1,0,18,1,698
0560215E,63,98.1,31.9,1,0,19,1,376
0911490A,59,103.8,34.6,1,0,20,1,577
0332190B,61,116.1,38.5,1,0,22,1,582
0660523K,0,96.5,31.0,1,0,21,1,1027
0951636M,0,103.4,33.6,1,0,19,1,456
0752385K,56,101.5,35.7,1,0,20,1,432
0440283U,58,97.2,39.7,1,0,29,1,419
0762286X,0,102.5,31.6,1,1,25,1,519
0350760L,0,96.6,40.0,1,0,15,1,388
0830163B,50,91.6,28.8,1,0,27,1,924
0400103V,102,97.9,33.6,1,0,20,1,567
0940521F,0,89.5,24.8,1,0,21,1,457
0900018F,0,97.1,38.4,1,0,22,1,493
0622095R,56,78.5,24.4,1,0,19,1,526
0791002K,117,89.4,26.3,1,0,20,1,490
0672194W,48,102.2,37.1,1,0,22,1,691
0021535H,0,100.8,35.4,1,0,17,1,396
0040044B,0,93.7,36.1,1,0,21,1,355
0941101L,0,99.4,32.9,1,1,19,1,471
0572690P,27,78.1,28.9,1,0,29,1,520
0573244S,45,97.6,30.0,1,1,19,1,656
0595172B,32,112.8,36.3,1,0,21,1,944
0881097P,0,102.9,33.2,1,1,20,1,685
0761647C,49,91.1,28.9,1,0,19,1,405
0210024M,0,101.0,34.2,1,0,33,1,505
0593246H,48,84.9,28.1,1,1,20,1,620
0710534V,50,79.2,26.4,1,0,22,1,502
0950039B,0,89.2,27.5,1,1,15,1,480
9740577J,128,74.4,28.5,1,0,21,1,982
0441610L,63,100.6,39.7,1,1,17,1,525
0720799C,0,108.9,36.3,1,1,23,1,510
0420035K,61,92.6,32.7,1,0,27,1,629
0694296V,0,80.1,25.5,1,0,23,1,497
0340025T,60,99.0,32.0,1,0,21,1,682
0921623P,0,85.3,26.2,1,0,19,1,575
0840029A,64,98.2,33.7,1,0,21,1,571
0761745J,0,81.7,30.0,1,0,23,1,453
0110665N,0,107.9,31.9,1,0,16,1,745
0951403J,0,101.6,34.9,1,1,18,1,567
0110021N,63,95.4,31.1,1,0,19,1,735
0594409X,0,71.0,21.6,1,0,16,1,255
0611156A,0,91.1,28.3,1,1,23,1,443
0780569V,54,99.3,33.8,1,0,22,1,647
0271096V,0,99.7,33.4,1,0,19,1,457
0240047W,33,90.3,30.3,1,0,19,1,355
9730247F,0,68.9,20.0,1,1,34,1,805
0300006U,0,99.6,31.3,1,1,15,1,508
0010802S,96,69.0,21.2,1,0,14,1,740
0610056E,0,93.1,30.4,1,0,21,1,343
0760173A,0,96.6,33.0,1,0,16,1,422
0611023F,0,91.6,34.5,1,1,25,1,428
0440314C,57,101.2,37.9,1,0,19,1,729
0060085K,0,86.5,30.2,1,0,36,1,588
9710073C,0,89.6,31.7,1,0,19,1,388
0371248F,0,105.6,32.6,1,0,21,1,464
0510011K,0,95.6,33.4,1,1,27,1,612
0594644C,0,92.3,34.1,1,0,17,1,382
0311319R,79,92.0,32.9,1,0,21,1,796
0790052C,74,103.3,36.7,1,0,29,1,619
0692700K,53,95.7,34.1,1,0,23,1,824
0132496T,0,94.8,31.7,1,1,22,1,492
0701192R,62,89.1,31.2,1,0,19,1,530
0600032J,0,97.1,29.9,1,0,24,1,627
0491859E,62,88.4,32.7,1,0,19,1,513
0622793Z,48,81.9,29.3,1,0,22,1,510
0280803W,0,99.4,33.7,1,1,23,1,470
0301721H,0,108.7,31.0,1,0,30,1,447
0560214D,64,98.6,33.4,1,0,21,1,521
0870817R,0,103.7,33.8,1,1,22,1,500
0890977D,60,89.3,29.2,1,0,23,1,437
0951672B,0,101.1,34.3,1,0,24,1,419
0900017E,0,85.9,31.0,1,0,21,1,319
0132326H,0,94.0,31.4,1,1,20,1,495
0311851U,0,96.2,32.0,1,1,15,1,439
0170081W,69,93.3,29.6,1,0,18,1,422
0260029R,0,82.7,29.0,1,0,23,1,457
0770027L,0,106.0,33.8,1,0,22,1,581
0370764E,0,93.8,38.0,1,1,19,1,407
0593486U,0,74.6,24.8,1,1,21,1,348
0921494Z,0,94.6,35.0,1,0,18,1,570
0560223N,71,101.9,35.2,1,1,32,1,573
0511214T,48,82.8,29.3,1,0,23,1,421
0950888Z,45,81.2,30.1,1,0,20,1,755
0421487N,59,102.7,32.5,1,1,23,1,935
0620051U,46,75.7,27.7,1,1,17,1,425
0251116C,0,101.0,35.6,1,1,26,1,513
0110026U,62,96.5,32.6,1,0,19,1,669
0752958H,0,93.8,31.1,1,1,18,1,474
0110686L,0,94.8,31.9,1,0,22,1,724
0950887Y,0,88.6,28.9,1,0,20,1,764
0080897G,0,94.9,31.9,1,1,24,1,382
0951050A,0,87.8,29.5,1,0,20,1,573
0541288G,0,83.4,26.5,1,0,14,1,429
0693093M,0,92.4,29.9,1,0,17,1,428
0870023C,0,104.3,35.4,1,0,17,1,464
0700787A,54,99.0,35.6,1,0,29,1,717
0060841G,74,88.6,28.7,1,0,24,1,719
0890017K,0,87.2,24.9,1,0,20,1,359
0110666P,0,99.9,33.5,1,1,18,1,599
0010974D,107,89.6,30.4,1,1,23,1,600
0601296H,0,91.6,28.5,1,0,31,1,459
0360543V,0,95.7,33.3,1,1,15,1,354
0380013H,0,81.4,24.0,1,1,22,1,430
0110025T,0,114.4,33.8,1,1,12,1,480
0623014P,55,98.9,34.0,1,0,21,1,763
0772274D,0,100.5,31.0,1,0,25,1,567
0310083X,82,93.2,33.5,1,0,21,1,512
0300055X,0,104.8,32.0,1,1,28,1,796
0594533G,0,74.8,25.4,1,1,16,1,493
0080954U,0,82.4,27.9,1,0,14,1,298
0561330S,51,92.7,38.1,1,1,19,1,356
0922630J,0,126.9,34.1,1,0,21,1,584
0951196J,0,75.0,23.4,1,0,16,1,621
0950943J,58,71.7,21.4,1,0,19,1,479
0301327E,0,97.5,33.5,1,1,22,1,605
0090056M,0,93.1,33.2,1,1,27,1,572
0572187T,0,92.5,32.4,1,0,23,1,353
0910859P,61,99.4,36.8,1,1,22,1,731
0050025A,62,105.1,32.8,1,0,22,1,580
0301211D,93,95.7,34.2,1,1,18,1,624
0300036B,0,98.3,28.1,1,1,23,1,386
0330146E,0,98.1,37.7,1,1,21,1,563
9720006Z,0,95.4,31.6,1,0,28,1,226
0382114S,0,119.1,42.1,1,0,16,1,613
9720412R,115,82.1,25.4,1,0,24,1,446
0950893E,0,100.9,30.6,1,0,21,1,623
0121273U,0,98.4,34.3,1,0,26,1,464
0593252P,53,82.3,29.0,1,0,20,1,385
0932333F,0,105.7,37.5,1,0,27,1,555
0541211Y,0,106.5,32.6,1,0,19,1,545
0340051W,0,93.8,32.0,1,0,19,1,488
0170063B,89,98.0,32.5,1,1,20,1,799
0300031W,0,99.2,29.3,1,0,21,1,530
0350969N,62,93.4,31.7,1,1,16,1,454
0950037Z,0,91.8,27.9,1,1,16,1,457
0271289E,56,83.7,26.6,1,1,17,1,533
0771656G,61,100.0,32.3,1,0,20,1,584
0300946R,0,121.8,36.4,1,0,18,1,445
0780720J,0,114.8,35.5,1,0,23,1,635
9720513A,68,80.6,24.9,1,0,23,1,279
0671508A,0,77.7,26.8,1,0,23,1,621
0594879H,0,81.2,28.6,1,0,20,1,299
0941971G,58,99.8,34.2,1,0,24,1,771
0010975E,0,105.4,31.3,1,0,23,1,673
0100947A,0,86.5,33.1,1,0,33,1,498
0240004Z,0,100.4,34.2,1,0,16,1,493
0595170Z,0,98.8,32.6,1,0,20,1,696
0941039U,0,86.8,28.4,1,0,18,1,426
0941411Y,52,101.3,36.4,1,0,19,1,681
0911255V,63,116.7,34.4,1,0,20,1,676
0920592U,0,88.6,30.5,1,1,19,1,577
0620154F,0,87.9,28.9,1,0,20,1,606
0311231V,0,97.5,42.5,1,0,23,1,392
0622863A,40,97.7,32.3,1,1,24,1,542
0540047H,0,110.6,40.3,1,1,21,1,289
